Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
"","tt16270188","","","","Akuma Kun","","","TV Series","6.4","","2023","","","","","",""
"","tt25811262","","","","Zom 100: Bucket List of the Dead","","","TV Series","7.4","","2023","","","","","",""
"","tt22445494","","","","Berserk: The Golden Age Arc - Memorial Edition","","","TV Series","8.3","","2022","","","","","",""
"","tt13370404","","","","Redo of Healer","","","TV Series","6.4","","2021","","","","","",""
"","tt13067534","","","","Otherside Picnic","","","TV Series","6.0","","2021","","","","","",""
"","tt9348718","","","","7Seeds","","","TV Series","6.3","","2019","","","","","",""
"","tt8788458","","","","The Promised Neverland","","","TV Series","8.2","","2019","","","","","",""
"","tt9458304","","","","Dororo","","","TV Series","8.2","","2019","","","","","",""
"","tt7899522","","","","Gegege no Kitarô","","","TV Series","6.9","","2018","","","","","",""
"","tt8690728","","","","Goblin Slayer","","","TV Series","7.4","","2018","","","","","",""
"","tt6931266","","","","Diesu Ire","","","TV Series","4.5","","2017","","","","","",""
"","tt5847454","","","","Berserk","","","TV Series","6.7","","2016","","","","","",""
"","tt5556656","","","","Kabaneri of the Iron Fortress","","","TV Series","7.2","","2016","","","","","",""
"","tt5607616","","","","Re: Zero - Starting Life in Another World","","","TV Series","8.0","","2016","","","","","",""
"","tt5537534","","","","Ajin","","","TV Series","7.5","","2016","","","","","",""
"","tt4773008","","","","Kurayami Santa","","","TV Series","6.3","","2015","","","","","",""
"","tt3957550","","","","Garo the Animation","","","TV Series","6.6","","2014","","","","","",""
"","tt3398976","","","","Knights of Sidonia","","","TV Series","7.7","","2014","","","","","",""
"","tt2781848","","","","Mushibugyo","","","TV Series","6.4","","2013","","","","","",""
"","tt2560140","","","","Attack on Titan","","","TV Series","9.1","","2013","","","","","",""
"","tt2359704","","","","JoJo's Bizarre Adventure","","","TV Series","8.5","","2012","","","","","",""
"","tt2309320","","","","From the New World","","","TV Series","7.8","","2012","","","","","",""
"","tt4556804","","","","Uragiri wa Boku no Namae o Shitteiru","","","TV Series","6.9","","2010","","","","","",""
"","tt1584002","","","","Okamikakushi ~ Masque of the Wolf","","","TV Series","5.9","","2010","","","","","",""
"","tt1301958","","","","Shikabane hime aka","","","TV Series","6.8","","2008","","","","","",""
"","tt1214085","","","","Sôru îtâ","","","TV Series","7.8","","2008","","","","","",""
"","tt1174766","","","","Ayakashi","","","TV Series","6.0","","2007","","","","","",""
"","tt0985344","","","","Claymore","","","TV Series","8.0","","2007","","","","","",""
"","tt0899258","","","","D.Gray-man","","","TV Series","7.7","","2006","","","","","",""
"","tt0965567","","","","Le Chevalier D'Eon","","","TV Series","7.0","","2006","","","","","",""
"","tt0813971","","","","Witchblade","","","TV Series","6.9","","2006","","","","","",""
"","tt0997020","","","","Ginga Densetsu Weed","","","TV Series","7.8","","2005","","","","","",""
"","tt0482855","","","","Blood+","","","TV Series","7.6","","2005","","","","","",""
"","tt0488266","","","","Kyôshoku sôkô Guyver","","","TV Series","7.7","","2005","","","","","",""
"","tt1186591","","","","Tactics","","","TV Series","6.7","","2004","","","","","",""
"","tt0816387","","","","Kyô kara maô!","","","TV Series","7.3","","2004","","","","","",""
"","tt0434670","","","","Chrono Crusade","","","TV Series","7.1","","2003","","","","","",""
"","tt0409625","","","","Takahashi Rumiko gekijô: Ningyo no mori","","","TV Series","7.2","","2003","","","","","",""
"","tt0261463","","","","Ayashi no Ceres","","","TV Series","7.0","","2000","","","","","",""
"","tt0283891","","","","Arc the Lad","","","TV Series","5.5","","1999","","","","","",""
"","tt0257294","","","","Betterman","","","TV Series","6.8","","1999","","","","","",""
"","tt0791208","","","","Neo Ranga","","","TV Series","6.8","","1998","","","","","",""
"","tt0318871","","","","Berserk","","","TV Series","8.7","","1997","","","","","",""
"","tt0111897","","","","Blue Seed","","","TV Series","6.8","","1994","","","","","",""
"","tt4672342","","","","Akuma-kun","","","TV Series","7.6","","1989","","","","","",""
"","tt0362344","","","","Silver Fang","","","TV Series","8.9","","1986","","","","","",""
"","tt0409645","","","","Demon-man Bem","","","TV Series","7.3","","1968","","","","","",""